,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,,大庆天庆昌世纪恒达分公司,"125.15839941840058,46.57942938004582",,大庆经济技术开发区翔驰路21号,销售：;服务：,,黑龙江省,230000,大庆市,230600,龙凤区,230603,,,,,,,,,销售：;服务：,大庆市,80800,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A34086,
1,,重庆万友龙瑞北碚分公司,"106.42334894481657,29.826057466256014",,重庆市北碚区金华路421号,销售：;服务：,,重庆市,500000,重庆市,500100,北碚区,500109,,,,,,,,,销售：;服务：,重庆市,52140,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A51761,
2,,周口铭盛项城分公司,"114.94177634109563,33.444251714869544",,项城市水新路与平安大道南100米路西,销售：;服务：,,河南省,410000,周口市,411600,项城市,411681,,,,,,,,,销售：;服务：,周口市,80660,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A35521,
3,,安徽万友汽车销售服务有限公司巢湖经开区分公司,"117.90739856705255,31.632487997449097",,安徽万友汽车销售服务有限公司巢湖经开区分公司,销售：0551－82315000;服务：,,安徽省,340000,合肥市,340100,巢湖市,340181,,0551－82315000,,,,,,,销售：0551－82315000;服务：,合肥市,22740,,0551－82315000,0551－82315000,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A53002,
4,,无锡东方福美新纪元福星分公司,"120.35940598712365,31.593635701882178",,无锡市凤翔路26号No. 26 Fengxiang Road  Wuxi City,销售：;服务：0510-83100531,214046,江苏省,320000,无锡市,320200,锡山区,320205,,,,,,,,,销售：;服务：0510-83100531,无锡市,20330,,0510-83100531,0510-83100531,,,,,,0510-83100531,2020-11-09 15:01:59,2020-11-09 15:01:59,A03998,
5,,天水福汇达定西分公司,"105.7418150570799,34.59233495189515",,定西市陇西县文峰镇崇文路103号Chongwen road No.103 Wenfeng town Longxi county Dingxi city,销售：;服务：,,甘肃省,620000,天水市,620500,秦州区,620502,,,,,,,,,销售：;服务：,天水市,50580,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A25095,
6,,南京福联鼓楼分公司,"118.78820129633272,32.07656742524382",,南京市鼓楼区虎踞北路90号No.90 Huju North Road  Gulou District  Nanjing,销售：025-52430777;服务：025-52433722,210012,江苏省,320000,南京市,320100,鼓楼区,320106,,025-52430777,,,,,,,销售：025-52430777;服务：025-52433722,南京市,20310,,025-52430777,025-52430777,,,,,,025-52433722,2020-11-09 15:01:59,2020-11-09 15:01:59,A02159,
7,,南京福联玄武分公司,"118.88652794922726,32.03198295224591",,南京市玄武区东方城48号No. 48 Dongfang City  Xuanwu District  Nanjing,销售：025-52472808;服务：,,江苏省,320000,南京市,320100,玄武区,320102,,025-52472808,,,,,,,销售：025-52472808;服务：,南京市,20310,,025-52472808,025-52472808,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A02159,
8,,山东顺骋金顺骋分公司,"120.31873067269042,31.039687240246703",,山东省济南市市中区二环南路8777号No. 8777 South Second ring  Jinan  Shandong,销售：0531-81305866;服务：0531-81305877,,江苏省,320000,苏州市,320500,吴中区,320506,,0531-81305866,,,,,,,销售：0531-81305866;服务：0531-81305877,苏州市,10470,,0531-81305866,0531-81305866,,,,,,0531-81305877,2020-11-09 15:01:59,2020-11-09 15:01:59,A08952,
9,,湖南福兴祥汽车销售服务有限公司,"114.00970971765422,22.53971934319701",,长沙市高新开发区嘉运路10号10 Jiayun Road  High-tech Development Zone  Changsha,销售：0731-89708585;服务：0731-89708577,410000,广东省,440000,深圳市,440300,福田区,440304,,0731-89708585,,,,,,,销售：0731-89708585;服务：0731-89708577,深圳市,32520,,0731-89708585,0731-89708585,,,,,,0731-89708577,2020-11-09 15:01:59,2020-11-09 15:01:59,A52601,
